Cache miss: -72.421875,40.4296875,-72.0703125,40.78125, Tile: x: 306, y: 371, z: 9, time: 0.196898937225
Cache miss: -72.421875,39.7265625,-72.0703125,40.078125, Tile: x: 306, y: 369, z: 9, time: 0.161936044693
Cache miss: -75.5859375,39.375,-75.234375,39.7265625, Tile: x: 297, y: 368, z: 9, time: 0.172379970551
Cache miss: -72.421875,41.1328125,-72.0703125,41.484375, Tile: x: 306, y: 373, z: 9, time: 0.360183000565
Cache miss: -74.8828125,39.375,-74.53125,39.7265625, Tile: x: 299, y: 368, z: 9, time: 0.173862934113
Cache miss: -75.234375,39.375,-74.8828125,39.7265625, Tile: x: 298, y: 368, z: 9, time: 0.211022853851
Cache miss: -74.53125,39.375,-74.1796875,39.7265625, Tile: x: 300, y: 368, z: 9, time: 0.166337966919
Cache miss: -74.1796875,39.375,-73.828125,39.7265625, Tile: x: 301, y: 368, z: 9, time: 0.146174192429
Cache miss: -73.828125,39.375,-73.4765625,39.7265625, Tile: x: 302, y: 368, z: 9, time: 0.145197868347
Cache miss: -73.4765625,39.375,-73.125,39.7265625, Tile: x: 303, y: 368, z: 9, time: 0.202874898911
Cache miss: -73.125,39.375,-72.7734375,39.7265625, Tile: x: 304, y: 368, z: 9, time: 0.181885004044
Cache miss: -72.421875,39.375,-72.0703125,39.7265625, Tile: x: 306, y: 368, z: 9, time: 0.188734054565
Cache miss: -72.7734375,39.375,-72.421875,39.7265625, Tile: x: 305, y: 368, z: 9, time: 0.211099863052
Cache miss: -75.5859375,39.0234375,-75.234375,39.375, Tile: x: 297, y: 367, z: 9, time: 0.187455892563
Cache miss: -75.234375,39.0234375,-74.8828125,39.375, Tile: x: 298, y: 367, z: 9, time: 0.18528008461
Cache miss: -74.1796875,39.0234375,-73.828125,39.375, Tile: x: 301, y: 367, z: 9, time: 0.15624499321
Cache miss: -74.53125,39.0234375,-74.1796875,39.375, Tile: x: 300, y: 367, z: 9, time: 0.203392028809
Cache miss: -74.8828125,39.0234375,-74.53125,39.375, Tile: x: 299, y: 367, z: 9, time: 0.276281833649
Cache miss: -73.4765625,39.0234375,-73.125,39.375, Tile: x: 303, y: 367, z: 9, time: 0.19283413887
Cache miss: -73.828125,39.0234375,-73.4765625,39.375, Tile: x: 302, y: 367, z: 9, time: 0.234145879745
Cache miss: -73.125,39.0234375,-72.7734375,39.375, Tile: x: 304, y: 367, z: 9, time: 0.178385972977
Cache miss: -72.421875,39.0234375,-72.0703125,39.375, Tile: x: 306, y: 367, z: 9, time: 0.150860071182
Cache miss: -72.7734375,39.0234375,-72.421875,39.375, Tile: x: 305, y: 367, z: 9, time: 0.202178001404
Cache hit: -73.828125,40.78125,-73.125,41.484375, Tile: x: 151, y: 186, z: 8, time: 0.000179052352905, debug: True
Cache hit: -74.53125,40.78125,-73.828125,41.484375, Tile: x: 150, y: 186, z: 8, time: 0.000184059143066, debug: True
Cache hit: -75.234375,40.78125,-74.53125,41.484375, Tile: x: 149, y: 186, z: 8, time: 9.70363616943e-05, debug: True
Cache hit: -76.640625,40.78125,-75.9375,41.484375, Tile: x: 147, y: 186, z: 8, time: 9.79900360107e-05, debug: True
Cache hit: -76.640625,40.078125,-75.9375,40.78125, Tile: x: 147, y: 185, z: 8, time: 0.00012993812561, debug: True
